               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.026069,           0.0054031,                   0,              0.7422,             0.46853,             0.54553,             0.25328,            0.046411,           0.0046277,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.025847,           0.0053827,                   0,             0.73899,             0.47235,             0.54882,             0.25328,            0.046364,           0.0046198,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.025715,           0.0053704,                   0,             0.73215,              0.4768,             0.55049,             0.25392,            0.046326,           0.0046057,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.025668,           0.0053408,                   0,              0.7455,             0.47298,             0.55276,             0.25477,            0.046298,           0.0045951,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.025485,           0.0052881,                   0,             0.74466,             0.47277,             0.55284,              0.2551,            0.046287,           0.0045918,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.025379,           0.0052799,                   0,             0.74924,             0.47171,             0.55321,             0.25583,             0.04627,           0.0045896,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.025228,           0.0052109,                   0,             0.74298,             0.47107,             0.55214,              0.2555,             0.04627,           0.0045902,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.025124,           0.0052689,                   0,             0.74074,             0.46863,             0.55104,             0.25562,            0.046247,           0.0045853,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.024706,           0.0052044,                   0,             0.73969,             0.47148,             0.55112,             0.25562,            0.046251,           0.0045822,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.024719,           0.0051934,                   0,             0.73462,             0.47298,             0.55088,              0.2561,            0.046266,           0.0045799,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.024533,           0.0051966,                   0,              0.7382,             0.47552,             0.55271,              0.2557,            0.046291,           0.0045792,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.024455,           0.0051807,                   0,             0.74106,             0.47303,             0.55351,             0.25587,              0.0463,           0.0045775,                   0,            0.000496,            0.000496,            0.000496
